Nombre,Grupo,Tags,URL
Propuesta de proyecto para firma,Departamento,formato,
Bitácora del Departamento (controlado),Departamento,monitorización,
Diseño en Figma para prototipo de página web Asesores Grupo RAM,RAM,"diseño, external",https://www.figma.com/file/bBoLNzlrideevYMrwQ18vl/Prototipo-RAM?node-id=0%3A1&t=m2YNhsKIyBLRAMXG-0
Repositorio de código para solución de Asesores Grupo RAM,RAM,"external, gestion",https://github.com/softwaredelta/GNP
Repositorio de código para solución de Michelin,Michelin,"external, gestion",https://github.com/softwaredelta/Michelin
Impact Mapping para solución de Asesores Grupo RAM,RAM,"external, requisitos",https://www.figma.com/file/84B4nmkuIgJskXHJhHZYt8/IMPACT-MAPPING-RAM?node-id=0%3A1&t=cc8EgTWwzmk6Nant-0
BrainStorm de departamento para definición inicial de Acuerdos del Departamento,Departamento,external,https://www.figma.com/file/Fc4oQqmy2sco7dFfveXxvM/Acuerdos-de-Equipo?node-id=0%3A1&t=7g6Nru8mLOI16bHb-0
GitHub de departamento,Departamento,"external, gestion",https://github.com/softwaredelta/Michelin
Impact Mapping para solución de Michelin,Michelin,"external, gestion",https://www.figma.com/file/YPV5buP6Al9ALf9xdybqT6/Impact-Mapping?node-id=0%3A1&t=LQ47FmYMlRbUSNUN-0
"BrainStorm: Ideas para solución de ventas, bonos, negocios, etc",RAM,requisitos,https://www.notion.so/Brainstorm-soluci-n-de-ventas-negocios-contratos-bonos-DA-etc-dfc64498892e472fb58ba6311f1cb772?pvs=4
Minutas para RAM,RAM,monitorización,https://www.notion.so/Minutas-RAM-8eb0df1338be45df8384d3b065c15fd6?pvs=4
Formato de procesos,Departamento,"formato, template",
