Acuerdo,Consecuencia en caso de incumplir,Tags
Tener una reunión departamental a la semana de duración de 1 a 2 horas.,,"Reunion, To do"
"Llevar una comunicación constante a través de los medios adecuados, especialmente al momento de realizar cambios. Se debe notificar a los afectados por el cambio, al igual que debe documentarse el cambio en los lugares apropiados.",,"Comunicación, Procesos, To do"
"Todo lo que se trabaje deberá de ser en donde se ha definido que se trata el proceso, sea en Google Drive (Fuente de Verdad), Notion (para la wiki), Github (código, issues).",,"Comunicación, Procesos, To do"
"Respetar nuestros tiempos. Si definimos el tiempo de la reunión velaremos por cumplirlo, se haya o no se haya completado el trabajo, con la excepción si todos los reunidos deciden lo contrario.",,"Reunion, To do"
"Reconocer el hecho de que nos encontramos en una experiencia de aprendizaje, por lo que se espera comprensión y acompañamiento los unos de los otros, así como respeto por nuestras iniciativas e intereses a lo largo del semestre.",,"To do, Valores"
"Notificar si vas a faltar a alguna junta o responsabilidad, para ello se deben de utilizar los canales de comunicación apropiados (WhatsApp y Discord).",,"Comunicación, Procesos, Reunion, To do"
"Respetar los momentos en los que alguien tiene la palabra durante las juntas y trabajos en equipo. No se prohíben las charlas entre miembros durante las juntas, pero se espera que no interfieran con la atención de los demás y que no desvíen el curso de la conversación. Esto aplica de la misma manera durante las clases impartidas por los profesores.",,"Reunion, To do, Valores"
"Se espera que los miembros que cuenten con conocimientos sobre las distintas tecnologías compartan sus conocimientos con amabilidad, comprensión y respeto en caso de que alguien les pida consejo.",,"Comunicación, To do, Valores"
"En caso de que los miembros requieran apoyo con sus actividades, se espera que las comuniquen adecuadamente ya sea con profesores, miembros de la comunidad de apoyo o colegas.",,"Comunicación, To do, Valores"
Reconocer los roles de los distintos miembros de los equipos.,,"Confianza, Procesos, To do"
Se espera que los miembros reconozcan cuando sus actividades dejan de aportar al proyecto y que tengan la madurez para comunicar y buscar otras actividades que puedan aportar al equipo.,,"Comunicación, Confianza, To do, Valores"
"Comunicarse de manera respetuosa, de igual manera, comunicar si consideras que una acción fue una falta de respeto, ataque personal o si preferirías que no se realice cierta acción al interactuar contigo. ¿Qué sucede si hay faltas de respeto?",,"Comunicación, Confianza, To do, Valores"
