Name,Tags,Must Read,Date,Property
Como utilizar PRs en GitHub para que mi código sea integrado en el producto,"Configuración, Desarrollo, TODO",No,,
Como desarrollar una interfaz REST dirigida a casos de uso en comparación a recursos,"Backend, Desarrollo, TODO",No,,
TICKETS EP0: Como reescribir código para reducir nesting y complejidad,"Calidad, Desarrollo, Tickets",Yes,,
"TICKETS EP2: Catch, o porque “console.log” no es error handling apropiado","Calidad, Desarrollo, Tickets",Yes,,
TICKETS EP1: Como utilizar enums para reducir valores hard-codeados,"Calidad, Desarrollo, Tickets",Yes,,
Guía de contribución para repositorio de RAM,"Configuración, Desarrollo, RAM, TODO",Yes,,
TICKETS EP4: Como utilizar Promise.all para optimizar queries,"Calidad, Desarrollo, Tickets",Yes,,
TICKETS EP3: Ejemplo de varias técnicas,"Calidad, Desarrollo, Tickets",Yes,,
¿Cómo controlar un riesgo?,"Documentación, Riesgos",No,"March 3, 2023",Fermín Méndez García
Guía para documento de Habilidades del departamento DELTA,"Documentación, Métricas",No,,
