Name,Files & media,Tags,Idioma,Año
CMMI-DEV V1.3,Books%20fd9501b7b9b5496eb008098dc82dfb43/CMMI_Ver_1.3.pdf,"CMMI, Organizaciones, Procesos",Spanish,
Choose your WoW,Books%20fd9501b7b9b5496eb008098dc82dfb43/Choose_your_WoW.pdf,"DAD, Organizaciones",English,
Software Engineering Best Practices,Books%20fd9501b7b9b5496eb008098dc82dfb43/Software_Engineering_Best_Practices.pdf,"Procesos, Project Management, Proyectos",,
The DevOps Handbook,Books%20fd9501b7b9b5496eb008098dc82dfb43/The_DevOps_Handbook.pdf,"Procesos, Proyectos",,
Reinventing Organizations,Books%20fd9501b7b9b5496eb008098dc82dfb43/Reinventing_Organizations.pdf,Organizaciones,English,
El camino hacia el Lean Startup por Gene Kim,Books%20fd9501b7b9b5496eb008098dc82dfb43/El_camino_hacia_el_Lean_Startup.pdf,"DAD, Procesos",,
Lo que sí funciona,Books%20fd9501b7b9b5496eb008098dc82dfb43/Lo-que-s-funciona.pdf,"Organizaciones, Proyectos, Sexismo",,
Brotopia by Emily Chang,Books%20fd9501b7b9b5496eb008098dc82dfb43/Brotopia.pdf,"Organizaciones, Proyectos, Sexismo",,
The Unicorn Project by Gene Kim,Books%20fd9501b7b9b5496eb008098dc82dfb43/The-Unicorn-Project.pdf,"Organizaciones, Proyectos",,
Beyond the Phoenix Project by Gene Kim,Books%20fd9501b7b9b5496eb008098dc82dfb43/Beyond-the-Phoenix-Project.pdf,Organizaciones,,
PMBOK: A guide to the Project Management Body of Knowledge,Books%20fd9501b7b9b5496eb008098dc82dfb43/Project_Management_Institute_-_A_Guide_to_the_Project_Management_Body_of_Knowledge-Project_Management_Institute_(2001).pdf,"Procesos, Project Management",English,
PMBOK: La guía de los fundamentos para la dirección de proyectos,Books%20fd9501b7b9b5496eb008098dc82dfb43/Project_Management_Institute_-_Gua_de_Los_Fundamentos_Para_la_Direccin_de_Proyectos_(2017).pdf,"Procesos, Project Management",Spanish,
UML Distilled: A brief guide to the standard object modeling language by Martin Fowler,,"Diseño, UML",,
IEEE-29119,,Pruebas,,
